Season,Name,Team,G,PA,wOBA,wRCplus,BsR,Off,Def,WAR,Age,playerid
1898,Cowboy Jones,Spiders,9,32,0.137,-14,0.1,-4.9,1.3,-0.2,23,1006542
1911,Cozy Dolan,Highlanders,19,79,0.371,110,1.7,2.6,0.6,0.6,21,1003361
1909,Cozy Dolan,Reds,3,9,0.304,92,-0.1,-0.2,0.1,0,19,1003361
1912,Cozy Dolan,- - -,29,121,0.302,70,0.9,-3.6,-3.1,-0.3,22,1003361
1895,Cozy Dolan,Beaneaters,26,91,0.297,57,-0.1,-6.7,0,-0.2,22,1003360
1913,Cozy Dolan,- - -,90,281,0.275,62,2.8,-9.7,-1.8,-0.2,23,1003361
1896,Cozy Dolan,Beaneaters,6,16,0.137,-26,-0.1,-3.3,0,-0.2,23,1003360
1961,Craig Anderson,Cardinals,25,9,0.343,99,0,0,0.7,0.1,23,1000221
1989,Craig Biggio,Astros,134,509,0.33,115,2.8,11.1,-8.7,2.1,23,549
1988,Craig Biggio,Astros,50,131,0.265,71,0.8,-3.3,0.4,0.1,22,549
1977,Craig Cacek,Astros,7,21,0.077,-59,0,-4,-0.3,-0.4,22,1001808
1973,Craig Caskey,Expos,9,2,0,-100,0,-0.5,0.2,0,23,1002047
1983,Craig McMurtry,Braves,36,85,0.103,-53,0,-15,7.6,-0.5,23,1008651
1976,Craig Reynolds,Pirates,7,4,0.562,255,0,0.7,0.1,0.1,23,1010867
1975,Craig Reynolds,Pirates,31,79,0.235,41,-0.4,-5.7,4.4,0.1,22,1010867
1972,Craig Robinson,Phillies,5,16,0.241,46,0,-0.9,1.2,0.1,23,1011058
1986,Craig Shipley,Dodgers,12,31,0.156,-9,0,-3.9,-3.5,-0.7,23,1011906
1974,Craig Swan,Mets,7,12,0.367,131,0,0.4,0.8,0.2,23,1012754
1973,Craig Swan,Mets,3,2,0,-100,0,-0.5,0.2,0,22,1012754
1988,Craig Worthington,Orioles,26,90,0.258,60,0.1,-4,3.2,0.2,23,1014261
1940,Crash Davis,Athletics,23,73,0.291,62,0.2,-3.6,-1.1,-0.2,20,1003042
1942,Crash Davis,Athletics,86,301,0.274,59,0.1,-14.4,-4.1,-0.9,22,1003042
1941,Crash Davis,Athletics,39,119,0.266,47,-0.1,-8.3,-1.7,-0.6,21,1003042
1941,Creepy Crespi,Cardinals,146,635,0.337,98,0.3,-0.9,12.3,3.1,23,1002762
1938,Creepy Crespi,Cardinals,7,21,0.328,91,0,-0.2,-1.6,-0.1,20,1002762
1940,Creepy Crespi,Cardinals,3,12,0.323,87,0.2,0,-0.9,-0.1,22,1002762
1939,Creepy Crespi,Cardinals,15,33,0.227,19,0,-3.4,1.4,-0.1,21,1002762
1901,Crese Heismann,Reds,3,6,0.447,168,-0.1,0.5,0.3,0.1,21,1005604
1902,Crese Heismann,- - -,8,22,0.245,48,-0.1,-1.6,1,0,22,1005604
1988,Cris Carpenter,Cardinals,8,17,0.129,-28,0,-2.4,1.6,0,23,1001978
1992,Cris Colon,Rangers,14,38,0.167,-3,0,-4.4,1.6,-0.2,23,1002472
2015,Cristhian Adames,Rockies,26,58,0.261,44,0.8,-3,-0.3,-0.2,23,6013
2014,Cristhian Adames,Rockies,7,15,0.059,-92,-0.1,-3.3,1.4,-0.2,22,6013
2001,Cristian Guzman,Twins,118,527,0.349,111,1.5,8.5,13.2,3.9,23,728
2000,Cristian Guzman,Twins,156,690,0.3,69,1.1,-28.4,2.6,-0.1,22,728
1999,Cristian Guzman,Twins,131,456,0.247,34,-1.4,-41.3,-7.4,-3.1,21,728
1883,Cub Stricker,Athletics,89,349,0.288,99,0,-0.6,-14.3,-0.3,23,1012613
1882,Cub Stricker,Athletics,72,287,0.237,75,0,-9.9,8.2,1,22,1012613
1946,Cuddles Marshall,Yankees,23,31,0.174,-6,0,-3.8,1.9,-0.1,21,1008135
1890,Cupid Childs,Stars,126,571,0.438,162,3.5,57.1,2.4,6.5,22,1002186
1891,Cupid Childs,Spiders,141,655,0.382,122,0.1,21.8,-5.4,3.4,23,1002186
1888,Cupid Childs,Quakers,2,4,0,-62,0,-0.9,0,-0.1,20,1002186
1912,Curly Brown,Browns,17,24,0.232,36,-0.1,-2,1.2,0,23,1001505
1911,Curly Brown,Browns,3,9,0,-100,0,-2.3,0.5,-0.1,22,1001505
1923,Curly Ogden,Athletics,19,17,0.299,63,0,-0.8,1,0.1,22,1009742
1924,Curly Ogden,- - -,22,52,0.283,57,0.1,-3,2.6,0.1,23,1009742
1922,Curly Ogden,Athletics,17,30,0.243,29,0.1,-2.8,1.8,0,21,1009742
1879,Curry Foley,Red Caps,35,149,0.309,119,0,4.1,-3.9,0.5,23,1004195
1900,Curt Bernard,Giants,20,80,0.306,79,-0.5,-2.8,-1.9,-0.2,22,1000886
1901,Curt Bernard,Giants,23,83,0.276,70,-0.2,-3.5,-2.4,-0.3,23,1000886
1965,Curt Blefary,Orioles,144,561,0.379,145,0.1,28.3,-7,4.2,21,1001068
1966,Curt Blefary,Orioles,131,508,0.371,143,-1,23.1,-9.1,3.1,22,1001068
1967,Curt Blefary,Orioles,155,645,0.336,122,-0.3,14.3,-1.5,3.3,23,1001068
1957,Curt Flood,Redlegs,3,3,0.706,336,0,0.9,0,0.1,19,1004165
1961,Curt Flood,Cardinals,132,380,0.363,112,0.5,6.4,15,3.4,23,1004165
1959,Curt Flood,Cardinals,121,226,0.32,87,0.1,-3.7,-0.4,0.4,21,1004165
1958,Curt Flood,Cardinals,121,461,0.314,84,-4.1,-13.4,24.3,2.5,20,1004165
1960,Curt Flood,Cardinals,140,443,0.292,71,-1.1,-16.1,3,0.1,22,1004165
1956,Curt Flood,Redlegs,5,1,0,-100,0,-0.3,0,0,18,1004165
1922,Curt Fullerton,Red Sox,31,11,0.438,149,0,0.8,0.7,0.2,23,1004390
1921,Curt Fullerton,Red Sox,4,5,0.149,-24,0,-0.8,0.3,0,22,1004390
1996,Curt Lyons,Reds,3,6,0,-100,0,-1.7,0.6,-0.1,21,1007879
1947,Curt Simmons,Phillies,1,3,0.468,170,0,0.3,0.2,0.1,18,1011980
1952,Curt Simmons,Phillies,28,78,0.222,29,0.1,-6.4,5.5,0.2,23,1011980
1950,Curt Simmons,Phillies,34,86,0.188,-1,0,-11.2,6.5,-0.2,21,1011980
1949,Curt Simmons,Phillies,39,42,0.184,-3,0,-5.4,2.9,-0.1,20,1011980
1948,Curt Simmons,Phillies,31,58,0.174,-7,0,-7.7,3.8,-0.2,19,1011980
1920,Curt Walker,Giants,8,15,0.112,-46,0,-2.4,-0.1,-0.2,23,1013510
1919,Curt Walker,Yankees,1,1,0,-100,0,-0.2,0,0,22,1013510
1885,Curt Welch,Browns,112,462,0.322,110,0,6.7,7.5,3,23,1013751
1884,Curt Welch,Blue Stockings,109,439,0.253,82,0,-11.6,7.9,1.2,22,1013751
1995,Curtis Goodwin,Orioles,87,316,0.285,64,2.6,-12.2,5.8,0.5,22,1004863
1996,Curtis Goodwin,Reds,49,156,0.275,61,0.3,-7.5,-6.1,-0.9,23,1004863
2004,Curtis Granderson,Tigers,9,28,0.303,82,-0.2,-0.8,0.5,0.1,23,4747
1984,Curtis Wilkerson,Rangers,153,522,0.259,57,-1.6,-27.7,0.8,-1.1,23,1013951
1983,Curtis Wilkerson,Rangers,16,37,0.205,22,0.6,-2.8,1.5,0,22,1013951
1906,Cy Barger,Highlanders,2,3,0.323,98,0,0,0.1,0,21,1000541
1907,Cy Barger,Highlanders,1,2,0,-100,0,-0.4,0.1,0,22,1000541
1872,Cy Bentley,Mansfields,23,115,0.236,69,-1.1,-8.9,0.6,-0.1,21,1000851
1942,Cy Block,Cubs,9,36,0.41,156,0.4,2.6,-1,0.3,23,1001078
1903,Cy Falkenberg,Pirates,10,24,0.231,41,-0.2,-2,1.2,0,22,1003913
1919,Cy Perkins,Athletics,101,336,0.321,85,-1.2,-7,3.2,0.9,23,1010193
1915,Cy Perkins,Athletics,7,24,0.282,72,0,-0.7,-0.8,-0.1,19,1010193
1918,Cy Perkins,Athletics,68,230,0.22,30,-0.7,-17.4,4.9,-0.7,22,1010193
1917,Cy Perkins,Athletics,6,21,0.217,31,-0.1,-1.6,0.2,-0.1,21,1010193
1914,Cy Rheam,Rebels,73,232,0.244,45,0.7,-14.5,-6,-1.4,20,1010877
1915,Cy Rheam,Rebels,34,76,0.195,18,0.8,-6.2,-1,-0.6,21,1010877
1896,Cy Seymour,Giants,12,32,0.21,21,-0.2,-4.3,0,-0.2,23,1011777
1897,Cy Swaim,Senators,26,73,0.229,26,0.1,-8.4,3.2,-0.2,23,1012752
1916,Cy Warmoth,Cardinals,3,2,0,-100,0,-0.4,0.1,0,23,1013629
1916,Cy Wright,White Sox,8,21,0.038,-80,0,-4,-0.5,-0.4,22,1014273
1890,Cy Young,Spiders,17,65,0.131,-11,0,-11,3.2,-0.4,23,1014369
1999,D'Angelo Jimenez,Yankees,7,23,0.438,163,0,1.9,0,0.3,21,1038
2001,D'Angelo Jimenez,Padres,86,349,0.319,96,-0.9,-2.7,-0.2,0.8,23,1038
1888,Dad Clarke,White Stockings,2,8,0.581,246,-0.1,1.5,0,0.2,23,1002273
1902,Dad Hale,- - -,11,24,0.124,-25,-0.1,-3.7,1.1,-0.2,22,1005221
1889,Dad Meek,Browns,2,2,0.481,166,0.2,0.4,0.1,0,22,1008722
1890,Dad Meek,Browns,4,16,0.303,77,0,-0.6,0.1,0,23,1008722
1943,Dain Clay,Reds,49,106,0.339,106,0.2,0.9,-5.4,-0.1,23,1002326
1962,Dal Maxvill,Cardinals,79,213,0.253,42,-0.6,-15.9,5.6,-0.3,23,1008285
1978,Dale Berra,Pirates,56,153,0.287,74,0.2,-4.1,-0.9,0,21,1000896
1980,Dale Berra,Pirates,93,271,0.267,59,0.4,-12,2.3,-0.1,23,1000896
1979,Dale Berra,Pirates,44,140,0.264,57,0,-7.1,1.6,-0.1,22,1000896
1977,Dale Berra,Pirates,17,42,0.181,1,0,-5,0.3,-0.4,20,1000896
1950,Dale Coogan,Pirates,53,148,0.318,74,0,-5,-2,-0.2,19,1002563
1941,Dale Jones,Phillies,2,3,0.443,173,0,0.3,0.2,0.1,22,1006545
1944,Dale Matthewson,Blue Jays,17,3,0.314,87,0,0,0.2,0,21,1008254
1943,Dale Matthewson,Blue Jays,12,3,0,-100,0,-0.7,0.2,-0.1,20,1008254
1977,Dale Murphy,Braves,18,76,0.365,115,-0.4,1,-5.9,-0.2,21,1009355
1979,Dale Murphy,Braves,104,429,0.354,111,0.9,6.5,-16.9,0.4,23,1009355
1976,Dale Murphy,Braves,19,72,0.322,92,0,-0.6,-1.9,0,20,1009355
1978,Dale Murphy,Braves,151,583,0.305,80,-0.4,-13.7,-10.6,-0.6,22,1009355
1987,Dale Sveum,Brewers,153,586,0.324,94,-2.4,-7.1,-5.1,0.8,23,1012748
1986,Dale Sveum,Brewers,91,356,0.309,87,-0.4,-6,-12.6,-0.7,22,1012748
1876,Dale Williams,Reds,9,35,0.187,58,0,-2.2,0.3,-0.1,20,1013982
1917,Dallas Bradshaw,Athletics,2,4,0,-100,0,-0.9,0,-0.1,21,1001317
2004,Dallas McPherson,Angels,16,43,0.32,94,0.2,-0.1,1.7,0.3,23,2194
1981,Dallas Williams,Orioles,2,2,0.459,199,0,0.2,0,0,23,1013986
1967,Dalton Jones,Red Sox,89,172,0.328,108,-0.3,1.1,-2.3,0.4,23,1006546
1965,Dalton Jones,Red Sox,112,400,0.315,93,1.2,-2,-5,0.6,21,1006546
1966,Dalton Jones,Red Sox,115,277,0.294,83,-0.4,-5.6,-6.7,-0.5,22,1006546
1964,Dalton Jones,Red Sox,118,401,0.274,64,0.2,-16.5,-7.1,-1.3,20,1006546
2014,Dalton Pompey,Blue Jays,17,43,0.323,105,0,0.2,0.3,0.2,21,12797
2015,Dalton Pompey,Blue Jays,34,103,0.292,81,1.6,-0.7,-0.5,0.2,22,12797
1978,Damaso Garcia,Yankees,18,44,0.198,19,0.2,-3.8,-3.7,-0.6,23,1004498
1996,Damian Jackson,Indians,5,11,0.375,116,0,0.2,1.1,0.2,22,471
1997,Damian Jackson,- - -,20,42,0.293,72,0,-1.5,0.4,0,23,471
2000,Damian Rolls,Devil Rays,4,3,0.3,70,0,-0.1,-0.1,0,22,1222
2001,Damian Rolls,Devil Rays,81,249,0.279,66,0.7,-10.1,-0.8,-0.2,23,1222
1993,Damion Easley,Angels,73,264,0.362,120,-1.2,5.4,0.6,1.4,23,464
1992,Damion Easley,Angels,47,165,0.286,74,-0.2,-4.9,4.4,0.5,22,464
1987,Damon Berryhill,Cubs,12,31,0.224,24,-0.4,-3.4,-2.5,-0.5,23,1000904
1993,Damon Buford,Orioles,53,90,0.311,86,-0.4,-2,-0.7,0,23,1001635
1942,Damon Phillips,Reds,28,93,0.242,47,0,-5.4,4.7,0.2,23,1010286
1961,Dan Ardell,Angels,7,6,0.323,86,0,-0.1,-0.1,0,20,1000294
1886,Dan Bickham,Red Stockings,1,4,0.425,160,-0.1,0.3,0.1,0.1,21,1000948
1975,Dan Briggs,Angels,13,34,0.289,82,-0.8,-1.5,-3.7,-0.4,22,1001426
1976,Dan Briggs,Angels,77,266,0.25,60,-1.2,-12.5,-5.7,-1.1,23,1001426
1881,Dan Brouthers,Bisons,65,288,0.404,157,0,23,-8.2,2.4,23,1001486
1879,Dan Brouthers,Trojans,39,169,0.313,121,0,5,-8,0.2,21,1001486
1880,Dan Brouthers,Trojans,3,13,0.194,54,0,-0.8,-1,-0.1,22,1001486
1890,Dan Burke,- - -,41,146,0.278,75,-1.3,-6.9,-3,-0.4,21,1001677
1892,Dan Burke,Beaneaters,1,4,0,-80,0,-1,0,-0.1,23,1001677
1886,Dan Casey,Quakers,44,160,0.193,42,-0.9,-15.1,-0.3,-0.8,23,1002036
1884,Dan Casey,Quicksteps,2,6,0.154,31,0,-0.6,0.2,0,21,1002036
1885,Dan Casey,Wolverines,12,44,0.14,21,0,-4.9,1.2,-0.2,22,1002036
1876,Dan Collins,Grays,7,28,0.148,23,0,-3.3,-0.4,-0.2,21,1002448
1874,Dan Collins,White Stockings,3,12,0.107,10,0.2,-1.8,0,-0.1,19,1002448
1895,Dan Coogan,Senators,26,91,0.31,70,-0.6,-5.4,-6.8,-0.8,20,1002562
1913,Dan Costello,Yankees,2,2,0.479,190,0,0.2,0,0,21,1002653
1914,Dan Costello,Pirates,21,73,0.341,111,0.1,1,-1,0.2,22,1002653
1915,Dan Costello,Pirates,71,133,0.255,59,1,-4.8,-4.8,-0.5,23,1002653
1890,Dan Cotter,Bisons,1,4,0,-69,0,-1.2,0.2,-0.1,23,1002658
1975,Dan Driessen,Reds,88,249,0.374,131,0.9,9.8,-7.9,1.1,23,1003501
1974,Dan Driessen,Reds,150,523,0.341,112,0.2,7.3,-5.5,2,22,1003501
1973,Dan Driessen,Reds,102,394,0.331,107,0.6,3.9,-4,1.3,21,1003501
1929,Dan Dugan,White Sox,19,21,0.157,-23,0,-3.5,1.5,-0.1,22,1003535
1886,Dan Dugdale,Cowboys,12,42,0.194,34,-0.1,-4.4,-4.1,-0.6,21,1003539
1975,Dan Ford,Twins,130,478,0.349,115,-1.4,6.5,-13.7,1,23,1004216
2003,Dan Haren,Cardinals,15,28,0.146,-21,0,-4.4,3,0,22,1757
2004,Dan Haren,Cardinals,14,14,0,-100,0,-3.9,1.5,-0.2,23,1757
1891,Dan Lally,Pirates,41,163,0.316,91,-1.5,-3.6,-6.5,-0.4,23,1007265
1976,Dan Larson,Astros,14,34,0.32,104,0,0.1,2.4,0.4,21,1007361
1977,Dan Larson,Astros,33,29,0.211,29,0,-2.5,2.4,0.1,22,1007361
1890,Dan Long,Orioles,21,93,0.261,55,2.1,-4.2,-3,-0.4,22,1007729
1895,Dan McFarlan,Colonels,7,21,0.244,37,-0.1,-2.4,0.6,-0.1,21,1008490
1934,Dan McGee,Braves,7,26,0.201,15,0,-2.9,0.4,-0.1,22,1008510
1974,Dan Meyer,Tigers,13,52,0.294,78,0.2,-1,0.4,0.1,21,1008824
1976,Dan Meyer,Tigers,105,315,0.288,76,1.9,-6.1,-6.4,-0.3,23,1008824
1975,Dan Meyer,Tigers,122,503,0.282,68,0.5,-17.7,-15.3,-1.7,22,1008824
1994,Dan Miceli,Pirates,28,3,0,-100,0,-0.9,0.3,0,23,1463
1977,Dan Norman,Mets,7,20,0.341,111,0,0.3,-1.2,0,22,1009631
1978,Dan Norman,Mets,19,67,0.339,116,0.2,1.4,-3.8,0,23,1009631
1890,Dan O'Connor,Colonels,6,27,0.5,194,0.6,4.4,0,0.4,21,1009710
1879,Dan O'Leary,Grays,2,7,0.391,165,0,0.6,-0.1,0.1,22,1009766
1880,Dan O'Leary,Red Caps,3,12,0.297,117,0,0.3,-0.2,0.1,23,1009766
1985,Dan Pasqua,Yankees,60,166,0.308,91,0,-1.8,2.3,0.6,23,1010044
1951,Dan Porter,Senators,13,21,0.247,41,0,-1.5,-0.1,-0.1,19,1010449
1999,Dan Reichert,Royals,8,4,0.301,67,0,-0.2,0.5,0,22,624
2000,Dan Reichert,Royals,44,1,0,-100,0,-0.3,0.1,0,23,624
1977,Dan Schatzeder,Expos,6,6,0.301,82,0,-0.1,0.5,0.1,22,1011527
1978,Dan Schatzeder,Expos,32,49,0.268,65,0.2,-1.7,4,0.4,23,1011527
1966,Dan Schneider,Braves,14,8,0.446,182,0,0.8,0.6,0.2,23,1011592
1963,Dan Schneider,Braves,30,7,0,-100,0,-1.6,0.5,-0.1,20,1011592
1964,Dan Schneider,Braves,14,9,0,-100,0,-2.1,0.7,-0.1,21,1011592
1999,Dan Smith,Expos,20,30,0.147,-28,0,-5.2,3.4,-0.1,23,1521
1975,Dan Spillner,Padres,37,59,0.22,34,0,-4.4,4.5,0.2,23,1012342
1974,Dan Spillner,Padres,30,50,0.052,-74,0,-9.9,3.2,-0.6,22,1012342
1975,Dan Warthen,Expos,40,56,0.12,-40,0,-9,4.3,-0.3,22,1013644
1976,Dan Warthen,Expos,23,28,0,-100,0,-6.7,2,-0.4,23,1013644
1992,Dan Wilson,Reds,12,28,0.383,143,0,1.3,1.4,0.4,23,1102
1915,Dan Woodman,Blues,6,4,0.24,43,0,-0.3,0.2,0,21,1014229
1914,Dan Woodman,Buffeds,13,7,0.137,-20,0,-1,0.4,0,20,1014229
2005,Dana Eveland,Brewers,27,2,0,-100,0,-0.6,0.2,0,21,5508
2006,Dana Eveland,Brewers,9,8,0,-100,0,-2.3,1,-0.1,22,5508
2007,Dana Eveland,Diamondbacks,5,1,0,-100,0,-0.3,0.1,0,23,5508
1915,Dana Fillingim,Athletics,8,14,0.204,24,0,-1.2,0.6,0,21,1004045
2004,Daniel Cabrera,Orioles,28,4,0,-100,0,-1.1,0.4,-0.1,23,1931
2015,Daniel Castro,Braves,33,100,0.264,64,0,-4.2,2.7,0.2,22,15450
2014,Daniel Corcino,Reds,5,5,0.297,85,0,-0.1,0.5,0.1,23,9266
2010,Daniel Descalso,Cardinals,11,37,0.296,82,1.2,0.4,2.5,0.4,23,8392
2010,Daniel Hudson,Diamondbacks,11,31,0.181,-3,0,-3.8,3.1,0,23,7146
2008,Daniel Murphy,Mets,49,151,0.381,133,-1.3,5,-1.6,0.8,23,4316
2015,Daniel Norris,Tigers,8,3,0.917,513,0,1.4,0.3,0.2,22,13475
1980,Danny Ainge,Blue Jays,38,115,0.261,52,0.6,-5.9,-0.4,-0.3,21,1000091
1979,Danny Ainge,Blue Jays,87,331,0.252,45,0.3,-21.9,3.9,-0.7,20,1000091
1981,Danny Ainge,Blue Jays,86,275,0.231,36,-0.2,-19.1,0.5,-1.2,22,1000091
1993,Danny Bautista,Tigers,17,63,0.32,92,0.2,-0.5,-1.3,0,21,47
1994,Danny Bautista,Tigers,31,102,0.287,65,-0.7,-5.3,2.5,0.1,22,47
1995,Danny Bautista,Tigers,89,289,0.245,39,0.3,-22.9,6.4,-0.6,23,47
1920,Danny Claire,Tigers,3,7,0.135,-27,0,-1.1,0.2,-0.1,22,1002251
1997,Danny Clyburn,Orioles,2,3,0,-100,0,-0.8,0,-0.1,23,1002366
1965,Danny Coombs,Astros,26,10,0.159,0,0,-1.1,0.8,0,23,1002582
1964,Danny Coombs,Colt .45's,7,4,0,-100,0,-0.9,0.3,-0.1,22,1002582
1983,Danny Cox,Cardinals,12,30,0.067,-71,0,-5.9,2.7,-0.2,23,1002695
2011,Danny Duffy,Royals,20,3,0,-100,0,-0.8,0.3,0,22,3542
2010,Danny Espinosa,Nationals,28,112,0.311,90,-0.2,-1.6,2.6,0.5,23,9219
1896,Danny Friend,Colts,37,133,0.273,48,-0.5,-11.5,-0.1,-0.5,23,1004356
1895,Danny Friend,Colts,5,19,0.257,37,-0.2,-2.2,0.6,-0.1,22,1004356
1967,Danny Frisella,Mets,14,24,0.121,-25,0.2,-3.1,1.7,-0.1,21,1004365
1968,Danny Frisella,Mets,19,12,0.076,-56,0.2,-1.7,0.8,-0.1,22,1004365
1969,Danny Frisella,Mets,3,1,0,-100,0,-0.2,0.1,0,23,1004365
2003,Danny Garcia,Mets,19,63,0.278,66,0.1,-2.7,0.2,0,23,1819
1977,Danny Goodwin,Angels,35,96,0.254,56,0,-4.9,-2.5,-0.4,23,1004864
1975,Danny Goodwin,Angels,4,10,0.092,-50,0,-1.7,-0.3,-0.2,21,1004864
1997,Danny Graves,Reds,10,1,0,-100,0,-0.3,0.1,0,23,326
1898,Danny Green,Orphans,47,199,0.368,115,1.2,5.3,1.1,1.3,21,1004988
1899,Danny Green,Orphans,117,525,0.361,106,-0.5,4.4,-4.1,1.9,22,1004988
1900,Danny Green,Orphans,103,419,0.356,106,2.6,6.4,-0.6,2,23,1004988
1980,Danny Heep,Astros,33,97,0.323,108,0,0.9,1.8,0.6,22,1005576
1981,Danny Heep,Astros,33,106,0.278,79,0,-2.5,-0.3,0.1,23,1005576
1979,Danny Heep,Astros,14,17,0.113,-35,0,-2.7,0.9,-0.1,21,1005576
1903,Danny Hoffman,Athletics,74,259,0.287,78,0,-6.8,-2.1,0,23,1005902
1999,Danny Klassen,Diamondbacks,1,1,0.902,452,0,0.5,0,0,23,1455
1998,Danny Klassen,Diamondbacks,29,118,0.261,49,-0.2,-7.9,-5.7,-1,22,1455
1940,Danny Litwhiler,Phillies,36,146,0.386,133,0.1,6,-0.4,1,23,1007670
1948,Danny Lynch,Cubs,7,8,0.477,184,0,0.8,0,0.1,22,1007861
1927,Danny MacFayden,Red Sox,37,57,0.365,103,-0.3,-0.1,3.4,0.5,22,1007904
1926,Danny MacFayden,Red Sox,3,3,0.314,72,0,-0.1,0.2,0,21,1007904
1928,Danny MacFayden,Red Sox,35,71,0.215,16,0,-7.8,0,-0.5,23,1007904
1907,Danny Moeller,Pirates,11,46,0.346,118,0.1,0.9,-2.5,0,22,1009021
1908,Danny Moeller,Pirates,36,118,0.246,61,0.2,-4.5,-3.3,-0.5,23,1009021
1968,Danny Morris,Twins,3,3,0,-100,0,-0.6,0.2,0,22,1009201
1961,Danny Murphy,Cubs,4,14,0.54,229,0,2.3,-1.2,0.2,18,1009354
1900,Danny Murphy,Giants,22,84,0.313,83,0.1,-2,-2,-0.1,23,1009352
1962,Danny Murphy,Cubs,14,37,0.26,50,0,-2.3,-2.4,-0.3,19,1009354
1960,Danny Murphy,Cubs,31,81,0.171,-3,0,-9.9,-0.2,-0.8,17,1009354
1941,Danny Murtaugh,Phillies,85,375,0.254,49,3.4,-18.9,0.7,-0.7,23,1009402
1965,Danny Napoleon,Mets,68,108,0.187,16,0,-10.4,0.3,-0.7,23,1009448
1950,Danny O'Connell,Pirates,79,344,0.351,95,1.3,-0.9,4.2,1.4,23,1009711
1885,Danny Richardson,Giants,49,208,0.298,106,0,1.8,5.3,1.4,22,1010904
1884,Danny Richardson,Gothams,74,293,0.277,94,0,-2.9,-4.1,0.3,21,1010904
1886,Danny Richardson,Giants,68,254,0.277,86,0.4,-5,-1.1,0.4,23,1010904
2013,Danny Salazar,Indians,10,2,0,-100,0,-0.5,0.2,0,23,5867
2014,Danny Santana,Twins,101,430,0.362,133,5,20.5,-4.3,3.3,23,10322
1919,Danny Silva,Senators,1,4,0.238,40,0,-0.3,0,0,22,1011969
1984,Danny Tartabull,Mariners,10,24,0.435,171,0,2,1.3,0.4,21,1012829
1985,Danny Tartabull,Mariners,19,69,0.41,154,0.2,4.6,-0.3,0.7,22,1012829
1986,Danny Tartabull,Mariners,137,578,0.367,123,-2.5,13.5,-24,1,23,1012829
1970,Danny Thompson,Twins,96,318,0.219,28,0.1,-27.1,12.1,-0.6,23,1013003
1970,Danny Walton,Brewers,117,455,0.354,119,-0.6,9.5,-14.9,0.9,22,1013592
1969,Danny Walton,Pilots,23,102,0.292,79,0.4,-2.1,-4.3,-0.4,21,1013592
1971,Danny Walton,- - -,35,91,0.279,74,0,-2.6,-5.9,-0.6,23,1013592
1968,Danny Walton,Astros,2,2,0,-100,0,-0.4,0,0,20,1013592
1997,Dante Powell,Giants,27,44,0.352,114,-0.2,0.6,-2.9,-0.1,23,1010483
1887,Darby O'Brien,Metropolitans,127,566,0.365,115,1,15.5,-6.9,2.8,23,1009686
1889,Darby O'Brien,Spiders,41,153,0.289,72,-1.5,-8.4,10.1,0.7,22,1009687
1888,Darby O'Brien,Blues,32,114,0.202,48,-0.9,-9,-0.1,-0.4,21,1009687
1890,Darby O'Brien,Infants,26,98,0.175,15,-0.6,-15.2,-0.1,-0.9,23,1009687
1968,Darcy Fast,Cubs,8,3,0,-100,0,-0.6,0.2,0,21,1003955
2007,Daric Barton,Athletics,18,84,0.451,181,0.4,9,-0.1,1.2,21,5928
2009,Daric Barton,Athletics,54,192,0.35,113,-1,2.1,-1.3,0.7,23,5928
2008,Daric Barton,Athletics,140,523,0.303,84,4.8,-5.5,-5.9,0.6,22,5928
1997,Darin Erstad,Angels,139,605,0.36,115,1.2,12.5,-5.4,2.8,23,11
1996,Darin Erstad,Angels,57,229,0.314,80,-0.8,-7.1,4,0.5,22,11
1938,Dario Lodigiani,Athletics,93,372,0.352,89,0.5,-5.4,-10.3,-0.2,22,1007697
1939,Dario Lodigiani,Athletics,121,446,0.335,84,0.2,-9.9,-6.5,0,23,1007697
1983,Darnell Coles,Mariners,27,100,0.327,100,-1.2,-1.2,-0.8,0.1,21,1002436
1985,Darnell Coles,Mariners,27,71,0.316,92,-0.4,-1.1,0.4,0.2,23,1002436
1984,Darnell Coles,Mariners,48,165,0.224,32,0,-13.2,-8.2,-1.7,22,1002436
1965,Darold Knowles,Orioles,5,4,0,-100,0,-0.9,0.3,-0.1,23,1007058
1970,Darrel Chaney,Reds,57,101,0.25,51,-0.2,-6.3,-0.7,-0.4,22,1002134
1969,Darrel Chaney,Reds,93,237,0.239,39,0.3,-16.4,-6,-1.5,21,1002134
1971,Darrel Chaney,Reds,10,25,0.137,-18,-0.4,-3.6,1.4,-0.2,23,1002134
1970,Darrell Evans,Braves,12,52,0.376,123,0,1.5,0.3,0.4,23,1003864
1969,Darrell Evans,Braves,12,28,0.221,31,0,-2.2,-1.9,-0.3,22,1003864
1979,Darrell Jackson,Twins,25,0,0, ,0,0,0,0,23,1006294
1952,Darrell Johnson,- - -,51,132,0.285,63,0.3,-5.4,2.7,0.1,23,1006439
1966,Darrell Osteen,Reds,16,2,0.446,176,0,0.2,0.1,0,23,1009879
1973,Darrell Porter,Brewers,117,416,0.367,130,0.4,14.6,6,3.6,21,1010450
1975,Darrell Porter,Brewers,130,511,0.358,124,-1.4,12.2,5.1,3.6,23,1010450
1974,Darrell Porter,Brewers,131,490,0.322,103,-1,0.5,7.9,2.6,22,1010450
1971,Darrell Porter,Brewers,22,80,0.293,82,-0.3,-1.9,4.2,0.5,19,1010450
